"","gainer","loser","year","pop","month","gaintype","procedur","entity","contgain","area","portion","losetype","contlose","entry","exit","number","indep","conflict","version","agreement","nonviolentagreement","year2","arbadj2","cap_1","cap_2","majpow1","majpow2","contig","colcont","colony1","colony2","cwongo","cwongonm","cwinit","cwinitnm","cwdynm","cwhost1","cwhost2","cwkeynum","cwrevis1","cwrevis2","cwrevt11","cwrevt21","cwrevt12","cwrevt22","cwfatal1","cwfatex1","cwfatal2","cwfatex2","cwhiact1","cwhiact2","cwoutcm","cwsettle","ter","claim","dyadnum","name","begclaim","resolved","endviol","homec","homet","offshore","contc","contt","entirecl","resource","stratloc","idenc","ident","histc","histt","dyad","panel","window5","window10","window20","outstanding.claim5","outstanding.claim10","outstanding.claim20"
"51617",200,640,1898,294190,11,0,1,351,0,8614,1,1,0,0,0,377,0,1,4.01,0,0,98,1,0.020247,0.157431,0,1,6,1,0,651,0,0,0,0,0,1,4,391,0,1,0,NA,2,NA,0,0,0,0,0,16,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200640,720,0,1,1,0,0,0
"51625",200,640,1906,NA,5,0,3,666,0,1,0,1,1,0,0,417,0,0,4.01,1,1,6,1,0.017748,0.12338,0,1,6,1,0,651,0,0,1,156,15601,4,3,156,1,0,1,NA,0,NA,0,0,0,0,14,7,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200640,720,0,1,1,0,0,0
"51639",200,640,1920,200000,3,0,6,663,0,89484,1,1,0,0,0,499,0,0,4.01,0,0,20,1,0.005222,0.127636,0,1,6,1,0,645,0,0,0,0,0,1,4,327,0,1,0,NA,2,NA,0,0,0,0,0,14,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200640,720,1,1,1,0,0,0
"51645",200,640,1926,703378,6,0,3,645,0,91009,0,1,1,0,0,550,0,0,4.01,1,1,26,1,0.007824,0.077437,0,1,6,1,0,645,1,3185,0,0,0,3,3,3185,1,0,1,NA,0,NA,0,0,0,0,7,7,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200640,720,0,1,1,0,0,0
"51832",200,651,1882,6806381,9,0,1,651,0,1021081,1,1,NA,0,0,261,0,0,4.01,0,0,82,0,0.004079,0.211676,0,1,6,6,0,0,0,0,0,0,0,5,5,3725,0,1,0,NA,2,NA,6,NA,2,NA,20,20,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200651,722,0,1,1,0,0,0
"52235",200,678,1915,NA,NA,0,2,678,0,182,0,1,1,0,0,457,0,0,4.01,0,0,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200678,728,0,0,0,0,0,0
"52344",200,681,1851,NA,NA,0,2,681,0,8,0,1,1,0,0,111,0,0,4.01,0,0,51,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200681,731,0,0,0,0,0,0
"52345",200,690,1899,50000,1,0,2,690,0,15540,1,1,NA,0,0,384,0,0,4.01,0,0,99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200690,732,0,0,0,0,0,0
"52394",200,692,1862,NA,NA,0,2,692,0,598,1,1,NA,0,0,156,0,0,4.01,0,0,62,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200692,733,0,0,0,0,0,0
"52433",200,694,1916,25000,11,0,2,694,0,22014,1,1,NA,0,0,460,0,0,4.01,0,0,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200694,734,0,0,0,0,0,0
