"","loser","year","month","gaintype","procedur","entity","contgain","area","pop","portion","losetype","contlose","entry","exit","number","indep","conflict","version","agreement","v21","nonviolentagreement","year2","arbadj2","cap_1","cap_2","majpow1","majpow2","contig","colcont","colony1","colony2","cwongo","cwongonm","cwinit","cwinitnm","cwdynm","cwhost1","cwhost2","cwkeynum","cwrevis1","cwrevis2","cwrevt11","cwrevt21","cwrevt12","cwrevt22","cwfatal1","cwfatex1","cwfatal2","cwfatex2","cwhiact1","cwhiact2","cwoutcm","cwsettle","polity21","polity22","ter","panel","lead1","lagtc1","window5","window10","window20","dyad","rivnumb","rivalry","rivala","rivalb","beginr","endr","totdisp","rivtyp2","rivtypold","rivals"
"391",230,1956,4,1,3,602,1,19656,1045000,0,0,1,0,0,671,0,0,4.01,1,NA,1,56,0,0.010714,0.001564,0,0,1,1,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,2758,1,NA,1,1,1,"600230",619,230600,230,600,"1893","1894",1,"ISOLATED","ISOLATED",1
"395",230,1958,4,1,3,602,1,13219,9000,1,0,0,0,0,682,0,0,4.01,1,NA,1,58,0,0.010771,0.001688,0,0,1,1,609,0,1,1117,0,0,0,4,4,1117,0,1,0,NA,1,NA,0,0,0,0,17,17,5,3,NA,NA,1,2758,0,NA,0,0,0,"600230",619,230600,230,600,"1893","1894",1,"ISOLATED","ISOLATED",1
"399",600,1860,9,0,2,605,0,1505,NA,1,1,1,0,0,143,0,0,4.01,0,NA,0,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1082,NA,NA,1,1,1,"230600",619,230600,230,600,"1893","1894",1,"ISOLATED","ISOLATED",1
"403",230,1969,6,1,3,605,1,1505,51517,1,0,0,0,0,760,0,0,4.01,1,NA,1,69,0,0.010079,0.002117,0,0,1,1,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,2758,0,NA,0,0,0,"600230",619,230600,230,600,"1893","1894",1,"ISOLATED","ISOLATED",1
"407",600,1912,11,0,2,602,1,26000,600000,1,1,1,0,0,438,0,0,4.01,0,NA,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1082,0,605,1,1,1,"230600",619,230600,230,600,"1893","1894",1,"ISOLATED","ISOLATED",0
"411",230,1976,4,1,3,609,1,177667,NA,0,0,0,0,0,807,0,0,4.01,1,NA,1,76,0,0.011731,0.002686,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,2758,0,NA,0,0,0,"600230",619,230600,230,600,"1893","1894",1,"ISOLATED","ISOLATED",1
"415",255,1919,9,0,3,541,0,1040,NA,0,0,0,0,0,483,0,1,4.01,1,NA,0,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1099,0,NA,0,0,0,"235255",10633,235255,235,255,"1940","1944",4,"ISOLATED","ISOLATED",1
"417",235,1961,8,1,1,434,1,2,12,0,0,0,0,0,709,0,0,4.01,0,NA,0,61,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2304,NA,NA,0,0,0,"434235",638,235434,235,434,"1961","1961",1,"ISOLATED","ISOLATED",1
"418",511,1886,NA,0,3,541,0,6000,NA,0,1,0,0,0,294,0,0,4.01,1,NA,1,86,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1103,NA,NA,0,0,0,"235511",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"419",235,1999,12,1,3,721,1,21.45,447000,1,0,0,0,0,878,0,0,4.01,1,NA,1,99,0,0.002258,0.150672,0,1,6,1,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,0,3149,0,NA,0,0,0,"710235",648,235710,235,710,"1927","1927",1,"ISOLATED","ISOLATED",1
"420",235,1961,12,1,1,752,1,4193,649660,1,0,0,0,0,717,0,1,4.01,0,NA,0,61,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3545,NA,NA,0,0,0,"750235",649,235750,235,750,"1954","1961",3,"RIVALRY","PROTO",1
"421",235,1976,7,1,1,860,1,14984,610541,1,0,0,0,0,809,0,0,4.01,0,NA,0,76,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3713,NA,NA,0,0,0,"850235",650,235850,235,850,"1975","1976",1,"ISOLATED","ISOLATED",1
"422",365,1867,10,0,3,3,0,1518775,54000,1,1,1,0,0,178,0,0,4.01,1,NA,1,67,0,0.07611,0.114134,1,0,6,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,79,0,NA,0,0,0,"2365",77,2365,2,365,"1946","2000",59,"RIVALRY","ENDURING",0
"424",390,1917,12,0,3,5,0,342,26051,1,0,0,0,0,462,0,0,4.01,1,NA,1,17,0,0.001684,0.244032,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,91,0,NA,0,0,0,"2390",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"425",4,1898,8,0,2,4,0,16638,109020,1,1,NA,0,0,366,0,0,4.01,0,NA,0,98,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,0,0,0,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"426",240,1866,7,1,1,240,1,38474,1923492,1,1,NA,0,0,174,0,0,4.01,0,NA,0,66,0,0.003234,0.065842,0,1,1,6,0,0,0,0,0,0,0,5,5,261,0,1,0,NA,1,NA,4,NA,6,NA,20,20,2,2,NA,NA,1,1173,NA,NA,0,0,0,"255240",652,240255,240,255,"1864","1866",2,"ISOLATED","ISOLATED",0
"427",241,1867,7,1,5,241,1,2383,181824,1,1,NA,0,0,189,0,0,4.01,0,NA,0,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1174,NA,NA,0,0,0,"255241",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"428",244,1867,7,1,5,244,1,3691,282400,1,1,NA,0,0,191,0,0,4.01,0,NA,0,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1175,NA,NA,0,0,0,"255244",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"429",245,1871,1,1,5,245,1,76073,4824421,1,1,NA,0,0,209,0,0,4.01,0,NA,0,71,0,0.004697,0.119848,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,1176,NA,NA,0,0,0,"255245",10659,245255,245,255,"1850","1866",2,"ISOLATED","ISOLATED",0
"430",246,1867,7,1,5,246,1,192,98575,1,1,NA,0,0,183,0,0,4.01,0,NA,0,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1177,NA,NA,0,0,0,"255246",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"431",247,1866,8,1,2,247,1,101,87518,1,1,NA,0,0,173,0,0,4.01,0,NA,0,66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1178,NA,NA,0,0,0,"255247",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"432",248,1867,7,1,5,248,1,352,229941,1,1,NA,0,0,186,0,0,4.01,0,NA,0,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1179,NA,NA,0,0,0,"255248",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"433",250,1849,12,1,5,250,0,1173,65574,1,1,NA,0,0,108,0,0,4.01,0,NA,0,49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1180,NA,NA,0,0,0,"255250",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"434",252,1867,7,1,5,252,1,1577,139287,1,1,NA,0,0,187,0,0,4.01,0,NA,0,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1181,NA,NA,0,0,0,"255252",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"435",253,1867,7,1,5,253,1,2725,99060,1,1,NA,0,0,185,0,0,4.01,0,NA,0,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1182,NA,NA,0,0,0,"255253",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"436",254,1866,8,1,2,254,1,4709,457571,1,1,NA,0,0,172,0,0,4.01,0,NA,0,66,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1183,NA,NA,0,0,0,"255254",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"437",257,1867,7,1,5,257,1,6291,295242,1,1,NA,0,0,182,0,0,4.01,0,NA,0,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1184,NA,NA,0,0,0,"255257",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"438",261,1867,7,1,5,261,1,9407,742907,1,1,NA,0,0,190,0,0,4.01,0,NA,0,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1185,NA,NA,0,0,0,"255261",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"439",268,1867,7,1,5,268,1,1121,58604,1,1,NA,0,0,188,0,0,4.01,0,NA,0,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1187,NA,NA,0,0,0,"255268",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"440",270,1867,7,1,5,270,1,329,49482,1,1,NA,0,0,184,0,0,4.01,0,NA,0,67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1189,NA,NA,0,0,0,"255270",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"441",255,1919,6,1,3,255,1,420000,2700000,0,1,1,0,0,484,0,1,4.01,1,NA,0,19,0,0.076849,0.018802,0,0,1,6,0,0,0,0,0,0,0,4,4,1269,1,0,1,NA,0,NA,NA,NA,NA,NA,14,16,2,1,6,8,1,1425,0,NA,1,1,1,"290255",671,255290,255,290,"1919","1921",2,"ISOLATED","ISOLATED",1
"443",290,1922,8,1,3,255,1,9702,1299127,0,1,1,0,0,538,0,0,4.01,1,NA,1,22,0,0.018835,0.083896,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,1194,0,NA,0,0,0,"255290",671,255290,255,290,"1919","1921",2,"ISOLATED","ISOLATED",1
"445",255,1945,12,1,3,255,1,102556,5022000,0,1,1,0,0,592,0,1,4.01,1,NA,0,45,0,0.079877,0.00978,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,1425,0,NA,0,0,0,"290255",671,255290,255,290,"1919","1921",2,"ISOLATED","ISOLATED",0
"447",255,1922,8,1,3,255,1,3221,893074,0,1,1,0,0,539,0,0,4.01,1,NA,1,22,0,0.083896,0.018835,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,1425,0,NA,0,0,0,"290255",671,255290,255,290,"1919","1921",2,"ISOLATED","ISOLATED",1
"449",300,1866,8,1,1,300,1,8537,544419,0,1,0,0,0,171,0,1,4.01,0,NA,0,66,0,0.057255,0.065842,1,1,1,6,0,0,1,261,0,0,0,5,5,261,0,1,0,NA,1,NA,6,NA,6,NA,20,20,2,2,NA,NA,1,1195,0,NA,0,0,0,"255300",674,255300,255,300,"1865","1866",1,"ISOLATED","ISOLATED",0
"451",305,1938,3,1,2,305,1,83869,6760000,1,1,NA,0,0,573,0,0,4.01,0,NA,0,38,0,0.005124,0.154222,0,1,1,6,0,0,0,0,0,0,0,1,4,11,0,1,0,NA,1,NA,0,0,0,0,0,14,4,1,0,NA,1,1196,0,NA,0,0,0,"255305",675,255305,255,305,"1938","1938",1,"ISOLATED","ISOLATED",1
"452",315,1939,3,1,2,315,1,98909,9807096,1,1,NA,0,0,577,0,0,4.01,0,NA,0,39,0,0.012164,0.177956,0,1,1,6,0,0,0,0,0,0,0,1,4,2302,0,1,0,NA,1,NA,0,0,0,0,0,14,1,2,0,NA,1,1198,0,315,0,0,0,"255315",677,255315,255,315,"1934","1939",3,"RIVALRY","PROTO",1
"453",315,1938,9,1,3,315,1,28674,3653292,0,1,1,0,0,574,0,0,4.01,1,NA,1,38,0,0.013048,0.154222,0,1,1,6,0,0,0,0,0,0,0,4,4,12,0,1,0,NA,1,NA,0,0,0,0,16,16,4,1,7,NA,1,1198,1,NA,1,1,1,"255315",677,255315,255,315,"1934","1939",3,"RIVALRY","PROTO",1
"454",255,1945,4,1,3,255,1,13000,NA,0,1,1,0,0,597,0,1,4.01,1,NA,0,45,0,0.079877,0.118207,1,1,6,6,0,0,1,258,0,0,0,5,5,258,1,0,1,NA,0,NA,6,NA,4,NA,20,20,1,2,NA,NA,1,1927,0,NA,0,0,0,"365255",690,255365,255,365,"1850","1850",1,"ISOLATED","ISOLATED",0
"458",368,1939,3,1,2,368,1,2846,152660,0,1,1,0,0,578,0,0,4.01,0,NA,0,39,0,0.000983,0.177956,0,1,1,6,0,0,0,0,0,0,0,1,4,134,0,1,0,NA,1,NA,0,0,0,0,0,14,4,3,NA,NA,1,1225,0,NA,0,0,0,"255368",697,255368,255,368,"1939","1939",1,"ISOLATED","ISOLATED",1
"459",390,1864,6,1,3,390,1,9194,409907,0,1,1,0,0,164,0,1,4.01,1,NA,0,64,0,0.003096,0.056731,0,1,4,6,0,0,1,194,0,0,0,5,5,194,0,1,0,NA,1,NA,6,NA,6,NA,20,20,1,2,2,NA,1,1234,0,NA,0,0,0,"255390",706,255390,255,390,"1914","1915",2,"ISOLATED","ISOLATED",0
"463",255,1920,2,1,3,255,1,3800,160000,0,1,1,0,0,517,0,0,4.01,1,0,1,20,0,0.072021,0.002269,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,2221,0,NA,0,0,1,"390255",706,255390,255,390,"1914","1915",2,"ISOLATED","ISOLATED",1
"467",511,1888,4,0,3,510,0,52000,NA,0,1,1,0,0,312,0,0,4.01,1,NA,1,88,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1263,NA,NA,0,0,0,"255511",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"468",255,1919,5,0,6,565,1,822907,206000,1,0,0,0,0,494,0,0,4.01,0,NA,0,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2675,0,NA,0,0,1,"560255",710,255560,255,560,"1939","1945",1,"ISOLATED","ISOLATED",1
"469",255,1920,12,0,6,980,0,2476,70500,1,0,0,0,0,522,0,0,4.01,0,NA,0,20,0,0.072021,0.040832,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,3392,0,NA,0,0,0,"740255",724,255740,255,740,"1895","1895",1,"ISOLATED","ISOLATED",1
"471",255,1914,11,0,3,710,0,518,168900,0,0,0,0,0,456,0,1,4.01,1,NA,0,14,0,0.158204,0.031597,1,1,6,5,9820,0,0,0,0,0,0,5,5,257,0,0,0,NA,0,NA,6,NA,4,NA,20,20,2,2,2,1,NA,3392,NA,NA,0,0,0,"740255",724,255740,255,740,"1895","1895",1,"ISOLATED","ISOLATED",1
"473",255,1919,7,0,6,970,0,21,2120,1,0,0,0,0,495,0,0,4.01,0,NA,0,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3732,NA,NA,0,0,1,"900255",727,255900,255,900,"1939","1945",1,"ISOLATED","ISOLATED",1
"474",255,1920,12,0,6,912,0,240870,400000,1,0,0,0,0,524,0,0,4.01,0,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3732,0,970,0,0,1,"900255",727,255900,255,900,"1939","1945",1,"ISOLATED","ISOLATED",1
"475",255,1920,12,0,6,990,0,2823,41828,1,0,0,0,0,526,0,0,4.01,0,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3748,0,NA,0,0,1,"920255",728,255920,255,920,"1939","1945",1,"ISOLATED","ISOLATED",1
"476",990,1899,12,0,3,990,0,2823,33000,0,1,1,0,0,389,0,0,4.01,1,NA,1,99,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1349,0,NA,0,0,0,"255990",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"477",7,1845,3,1,2,7,1,1010472,35162,1,1,NA,0,0,94,0,0,4.01,0,NA,0,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,0,0,0,"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"478",70,1853,12,1,3,70,1,76768,96000,0,1,1,0,0,116,0,0,4.01,1,NA,1,53,0,0.00859,0.078744,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,9,0,21,0,NA,0,0,0,"270",15,2070,2,70,"1956","1956",1,"ISOLATED","ISOLATED",1
"481",70,1848,2,1,3,70,1,1370153,295574,0,1,1,0,0,103,0,1,4.01,1,NA,0,48,0,0.008682,0.087174,0,0,1,6,0,0,1,1552,0,0,0,5,5,1552,0,1,0,NA,1,NA,6,NA,6,NA,20,20,1,2,NA,10,1,21,0,NA,0,0,0,"270",15,2070,2,70,"1956","1956",1,"ISOLATED","ISOLATED",0
"484",2,1963,7,1,3,2,1,2,100,0,1,1,0,0,726,0,0,4.01,1,NA,1,63,0,0.207966,0.007669,1,0,1,5,1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,0,316,0,NA,0,0,0,"702",15,2070,2,70,"1956","1956",1,"ISOLATED","ISOLATED",0
"487",740,1945,9,0,3,741,0,2354,869287,1,1,1,0,0,591,0,1,4.01,1,NA,0,45,0,0.052876,0.383864,1,1,6,6,0,0,1,258,0,0,0,5,5,258,1,0,1,NA,0,NA,6,NA,6,NA,20,20,1,2,NA,10,1,175,NA,NA,0,0,0,"2740",107,2740,2,740,"1908","1908",1,"ISOLATED","ISOLATED",0
"491",2,1972,5,1,3,741,1,848,934176,1,0,0,0,0,780,0,0,4.01,1,NA,1,72,0,0.163286,0.053388,1,0,6,5,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,3345,0,NA,0,0,0,"7402",107,2740,2,740,"1908","1908",1,"ISOLATED","ISOLATED",0
"495",2,1968,6,1,3,NA,0,100,NA,0,0,0,0,0,756,0,0,4.01,1,NA,1,68,0,0.203926,0.049222,1,0,6,3,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,3345,0,NA,0,0,0,"7402",107,2740,2,740,"1908","1908",1,"ISOLATED","ISOLATED",1
"499",740,1947,4,0,6,980,0,1779,47000,1,0,0,0,0,611,0,0,4.01,0,NA,0,47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,0,741,0,0,0,"2740",107,2740,2,740,"1908","1908",1,"ISOLATED","ISOLATED",1
"503",2,1953,12,1,3,741,1,1000,NA,0,0,0,0,0,655,0,0,4.01,1,NA,1,53,0,0.311158,0.030228,1,0,6,3,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,3345,0,NA,0,0,0,"7402",107,2740,2,740,"1908","1908",1,"ISOLATED","ISOLATED",0
"507",305,1919,9,1,3,300,1,80080,8257505,0,1,1,0,0,485,0,1,4.01,1,NA,0,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1428,NA,NA,0,0,0,"290305",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"508",290,1920,7,1,3,290,1,528,113500,0,1,1,0,0,506,0,0,4.01,1,NA,1,20,0,0.027165,0.010699,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,1551,0,NA,0,0,1,"315290",759,290315,290,315,"1938","1938",1,"ISOLATED","ISOLATED",1
"511",315,1920,7,1,3,315,1,1009,145241,0,1,1,0,0,503,0,0,4.01,1,NA,1,20,1,0.010699,0.027165,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,1429,0,NA,0,0,1,"290315",759,290315,290,315,"1938","1938",1,"ISOLATED","ISOLATED",1
"514",315,1938,10,1,2,315,1,1085,241698,0,1,1,0,0,575,0,0,4.01,0,NA,0,38,1,0.013048,0.019573,0,0,1,6,0,0,0,0,1,1244,124401,4,4,1244,0,1,0,NA,1,NA,0,0,0,0,16,14,3,1,7,NA,1,1429,0,NA,0,0,0,"290315",759,290315,290,315,"1938","1938",1,"ISOLATED","ISOLATED",1
"517",290,1951,5,1,3,290,1,240,7000,0,1,1,0,0,651,0,0,4.01,1,NA,1,51,0,0.014259,0.173163,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,1936,0,NA,0,0,0,"365290",765,290365,290,365,"1993","1997",4,"RIVALRY","PROTO",0
"521",290,1945,2,1,3,290,1,179460,NA,0,1,1,0,0,598,0,0,4.01,1,NA,1,45,0,0.00978,0.118207,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,1936,0,NA,0,0,0,"365290",765,290365,290,365,"1993","1997",4,"RIVALRY","PROTO",0
"525",365,1951,5,1,3,365,1,240,7000,0,1,1,0,0,650,0,0,4.01,1,NA,1,51,0,0.173163,0.014259,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,1434,0,NA,0,0,0,"290365",765,290365,290,365,"1993","1997",4,"RIVALRY","PROTO",0
"529",365,1921,3,1,3,365,1,113722,3683568,0,1,1,0,0,530,0,1,4.01,1,NA,0,21,0,0.148514,0.021068,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,1434,0,NA,0,0,0,"290365",765,290365,290,365,"1993","1997",4,"RIVALRY","PROTO",1
"533",368,1920,10,1,3,368,1,29818,2075700,0,1,1,0,0,504,0,1,4.01,1,NA,0,20,0,0.001488,0.027165,0,0,1,6,0,0,0,0,0,0,0,5,5,1272,0,1,0,NA,1,NA,5,NA,5,NA,20,20,1,1,4,8,1,1436,1,NA,1,1,1,"290368",10768,290368,290,368,"1919","1938",4,"RIVALRY","PROTO",1
"534",91,1863,NA,0,2,91,0,5,NA,0,1,1,0,0,159,0,0,4.01,0,NA,0,63,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,0,NA,0,0,0,"291",20,2091,2,91,"1929","1929",1,"ISOLATED","ISOLATED",0
"535",2,1972,NA,1,3,91,1,3,NA,0,0,0,0,0,777,0,0,4.01,1,NA,1,72,0,0.163286,0.00033,1,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,NA,0,349,0,NA,0,0,0,"912",20,2091,2,91,"1929","1929",1,"ISOLATED","ISOLATED",0
"536",93,1916,6,0,3,93,0,10,NA,0,1,1,0,0,459,0,0,4.01,1,NA,1,16,0,0.000111,0.232939,0,1,6,4,0,1088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,10,0,26,0,NA,0,0,0,"293",25,2093,2,93,"1982","1988",3,"RIVALRY","PROTO",0
